Date,Covid Vaccines,Flu Shots,Both Vaccines
2021-08,45820.0,,
2021-08,54833.0,,
2021-09,50771.0,,
2021-09,54114.0,,
2021-09,49550.0,,
2021-09,58963.0,,
2021-09,46820.0,,
2021-09,41608.0,,
2021-09,40826.0,,
2021-09,41581.0,,
2021-09,40864.0,,
2021-09,125682.0,,
2021-09,41213.0,,
2021-09,55441.0,,
2021-09,25147.0,,
2021-09,19479.0,,
2021-09,15931.0,,
2021-09,35734.0,,
2021-11,62000.0,,
2021-11,26188.0,,
2021-11,52560.0,,
2021-11,100000.0,,
2021-11,100000.0,,
2021-11,,18599.0,73032.0
2021-11,76466.0,42148.0,104396.0
2021-12,65185.0,43424.0,108609.0
2021-12,66620.0,15836.0,82456.0
2021-12,70142.0,42112.0,112254.0
2021-12,60083.0,34337.0,94420.0
2021-12,66472.0,30494.0,96966.0
2021-12,74492.0,17698.0,92190.0
2021-12,79662.0,23288.0,85791.0
2021-12,65806.0,23151.0,88957.0
2021-12,72539.0,11067.0,83606.0
2021-12,68608.0,21448.0,90056.0
2021-12,65042.0,20171.0,85213.0
2021-12,68326.0,16669.0,84995.0
2021-12,72190.0,8836.0,81026.0
2021-12,82246.0,16385.0,72472.0
2021-12,55354.0,15469.0,70823.0
2021-12,48772.0,16384.0,65156.0
2021-12,54687.0,16255.0,70942.0
2021-12,74376.0,21035.0,95411.0
2021-12,5608.0,996.0,50312.0
2021-12,4982.0,354.0,56900.0
2021-12,77913.0,14492.0,88538.0
2021-12,81765.0,18016.0,99829.0
2021-12,78515.0,17234.0,95808.0
2021-12,30401.0,6571.0,37032.0
2021-12,0.0,0.0,0.0
2021-12,0.0,0.0,0.0
2021-12,0.0,0.0,0.0
2021-12,85222.0,15997.0,98176.0
2021-12,91891.0,12249.0,104189.0
2021-12,94267.0,11103.0,105405.0
2021-12,55968.0,14026.0,70045.0
2022-01,0.0,0.0,0.0
2022-01,0.0,0.0,0.0
2022-01,84208.0,16867.0,101113.0
2022-01,90099.0,7845.0,92229.0
2022-01,83128.0,12362.0,95553.0
2022-01,91913.0,12937.0,104929.0
2022-01,41122.0,1842.0,92816.0
2022-01,48900.0,1127.0,100326.0
2022-01,39301.0,295.0,98839.0
2022-01,27720.0,243.0,73114.0
2022-01,108813.0,7277.0,94231.0
2022-01,88931.0,9533.0,98491.0
2022-01,88003.0,6462.0,94504.0
2022-01,81655.0,6872.0,88561.0
2022-01,66963.0,7161.0,74156.0
2022-01,62292.0,2538.0,65037.0
2022-01,72245.0,4545.0,76867.0
2022-01,115133.0,4916.0,78416.0
2022-01,84544.0,4037.0,88590.0
2022-01,81611.0,3548.0,85167.0
2022-01,74723.0,3231.0,77955.0
2022-01,83365.0,3261.0,86629.0
2022-01,97602.0,2971.0,100619.0
2022-01,82078.0,3252.0,85331.0
2022-01,91050.0,2949.0,75515.0
2022-01,76920.0,3853.0,80786.0
2022-01,74483.0,3978.0,78464.0
2022-01,79015.0,3712.0,82743.0
2022-01,76933.0,3322.0,80260.0
2022-01,85795.0,3977.0,89783.0
2022-01,68544.0,1904.0,70448.0
2022-02,86232.0,2696.0,67868.0
2022-02,70134.0,2382.0,72529.0
2022-02,68920.0,2085.0,71014.0
2022-02,67934.0,2311.0,70262.0
2022-02,70861.0,2162.0,73044.0
2022-02,67957.0,961.0,85205.0
2022-02,60627.0,764.0,71642.0
2022-02,82390.0,2024.0,60446.0
2022-02,35506.0,2041.0,61577.0
2022-02,54765.0,1280.0,56052.0
2022-02,45364.0,1476.0,46859.0
